SubwayStation,TimeToSubway,TimeToBusStop,N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Park),N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),N_SchoolNearBy(Elementary),HallwayType,Floor,YearBuilt,N_FacilitiesInApt,HeatingType,AptManageType,Size(sqf),SalePrice
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,4,2007,10,individual_heating,management_in_trust,868,218141
Banwoldang,0~5min,0~5min,1,2,1,0,4,1,605,2,terraced,12,2007,5,individual_heating,management_in_trust,1483,370796
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,8,2007,10,individual_heating,management_in_trust,868,212389
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,10,1993,4,individual_heating,management_in_trust,644,172566
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,1,1986,4,central_heating,management_in_trust,1131,247787
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,21,1993,4,individual_heating,management_in_trust,914,124778
Kyungbuk-uni-hospital,10min~15min,5min~10min,1,1,0,1,2,2,184,3,terraced,6,2006,5,individual_heating,management_in_trust,636,236725
no-subway-nearby,5min~10min,5min~10min,1,2,1,0,1,1,1321,2,terraced,34,2015,10,individual_heating,management_in_trust,644,296460
no-subway-nearby,5min~10min,5min~10min,1,2,1,0,1,1,1321,2,terraced,30,2015,10,individual_heating,management_in_trust,644,300884
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,28,2014,9,individual_heating,management_in_trust,644,263716
Banwoldang,0~5min,0~5min,0,0,0,0,0,0,203,0,terraced,7,2014,10,individual_heating,management_in_trust,914,388495
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,8,2007,10,individual_heating,management_in_trust,1643,416814
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,16,2007,10,individual_heating,management_in_trust,868,232743
Myung-duk,0~5min,5min~10min,1,1,0,2,3,1,181,4,terraced,3,2006,4,individual_heating,management_in_trust,903,265486
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,16,2007,10,individual_heating,management_in_trust,1928,424778
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,3,2008,8,individual_heating,management_in_trust,829,228318
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,7,1992,3,individual_heating,management_in_trust,644,140707
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,13,1992,3,individual_heating,management_in_trust,355,69026
no-subway-nearby,no_bus_stop_nearby,0~5min,1,0,1,2,2,1,203,2,terraced,14,2009,5,individual_heating,management_in_trust,1160,265442
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,5,1993,4,individual_heating,management_in_trust,1451,174336
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,27,2007,10,individual_heating,management_in_trust,1643,428318
