SubwayStation,TimeToSubway,TimeToBusStop,N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Park),N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),N_SchoolNearBy(Elementary),HallwayType,Floor,YearBuilt,N_FacilitiesInApt,HeatingType,AptManageType,Size(sqf),SalePrice
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,15,2007,10,individual_heating,management_in_trust,868,309734
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,11,1992,3,individual_heating,management_in_trust,576,61946
Banwoldang,0~5min,0~5min,1,2,1,0,4,1,605,2,terraced,13,2007,5,individual_heating,management_in_trust,1334,343362
Myung-duk,15min~20min,5min~10min,1,1,0,1,5,4,79,3,mixed,11,1992,3,individual_heating,self_management,644,107964
Myung-duk,0~5min,5min~10min,1,1,0,2,3,1,181,4,terraced,2,2006,4,individual_heating,management_in_trust,903,283185
Myung-duk,15min~20min,5min~10min,1,1,0,1,5,4,79,3,mixed,12,1992,3,individual_heating,self_management,914,153097
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,21,2007,10,individual_heating,management_in_trust,868,263716
Banwoldang,0~5min,0~5min,1,2,1,0,4,1,605,2,terraced,14,2007,5,individual_heating,management_in_trust,1690,464601
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,27,2013,7,individual_heating,management_in_trust,910,330973
no-subway-nearby,5min~10min,5min~10min,1,2,1,0,1,1,1321,2,terraced,14,2015,10,individual_heating,management_in_trust,1035,455752
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,6,2005,7,individual_heating,management_in_trust,914,260176
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,23,2005,7,individual_heating,management_in_trust,914,280530
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,15,2014,9,individual_heating,management_in_trust,914,345132
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,9,2005,7,individual_heating,management_in_trust,743,242477
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,13,2007,4,individual_heating,management_in_trust,1394,256637
Myung-duk,0~5min,5min~10min,1,1,0,2,3,1,181,4,terraced,13,2006,4,individual_heating,management_in_trust,903,298230
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,20,2005,7,individual_heating,management_in_trust,914,157522
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,3,2006,5,individual_heating,management_in_trust,1437,256637
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,16,1993,4,individual_heating,management_in_trust,644,134513
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,4,1986,4,central_heating,management_in_trust,1377,343362
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,31,2013,7,individual_heating,management_in_trust,907,345132
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,12,1992,3,individual_heating,management_in_trust,576,100000
no-subway-nearby,no_bus_stop_nearby,0~5min,1,0,1,2,2,1,203,2,terraced,2,2009,5,individual_heating,management_in_trust,910,153097
Myung-duk,15min~20min,5min~10min,1,1,0,1,5,4,79,3,mixed,5,1992,3,individual_heating,self_management,914,221238
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,9,2006,5,individual_heating,management_in_trust,914,197345
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,3,1986,4,central_heating,management_in_trust,1313,284070
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,23,2008,8,individual_heating,management_in_trust,914,238053
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,11,2007,10,individual_heating,management_in_trust,1928,383716
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,13,2013,7,individual_heating,management_in_trust,907,252814
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,14,2007,10,individual_heating,management_in_trust,868,193805
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,21,2014,9,individual_heating,management_in_trust,910,362831
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,4,2008,8,individual_heating,management_in_trust,829,265486
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,8,2007,4,individual_heating,management_in_trust,1103,209734
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,7,1992,3,individual_heating,management_in_trust,644,95132
Myung-duk,15min~20min,5min~10min,1,1,0,1,5,4,79,3,mixed,10,1992,3,individual_heating,self_management,914,136283
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,8,2007,4,individual_heating,management_in_trust,1394,230088
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,11,2007,4,individual_heating,management_in_trust,1366,283185
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,11,2014,9,individual_heating,management_in_trust,640,265486
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,28,2007,4,individual_heating,management_in_trust,1103,349557
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,21,1993,4,individual_heating,management_in_trust,914,154867
no-subway-nearby,no_bus_stop_nearby,0~5min,1,0,1,2,2,1,203,2,terraced,7,2009,5,individual_heating,management_in_trust,910,247787
Myung-duk,0~5min,5min~10min,1,1,0,2,3,1,181,4,terraced,12,2006,4,individual_heating,management_in_trust,857,192920
no-subway-nearby,no_bus_stop_nearby,0~5min,1,0,1,2,2,1,203,2,terraced,5,2009,5,individual_heating,management_in_trust,910,168141
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,15,1993,4,individual_heating,management_in_trust,644,90265
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,11,2013,7,individual_heating,management_in_trust,910,345132
no-subway-nearby,no_bus_stop_nearby,0~5min,1,0,1,2,2,1,203,2,terraced,4,2009,5,individual_heating,management_in_trust,910,269026
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,2,2005,7,individual_heating,management_in_trust,743,230088
Myung-duk,0~5min,5min~10min,1,1,0,2,3,1,181,4,terraced,6,2006,4,individual_heating,management_in_trust,903,194690
Chil-sung-market,15min~20min,5min~10min,1,2,1,1,7,3,56,4,mixed,11,1997,5,individual_heating,management_in_trust,558,66814
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,1,2008,8,individual_heating,management_in_trust,1167,294690
no-subway-nearby,5min~10min,5min~10min,1,2,1,0,1,1,1321,2,terraced,24,2015,10,individual_heating,management_in_trust,644,292035
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,22,2007,10,individual_heating,management_in_trust,868,331858
Sin-nam,5min~10min,0~5min,1,2,1,1,5,2,18,6,corridor,16,1986,3,individual_heating,management_in_trust,793,97345
Banwoldang,0~5min,0~5min,0,0,0,0,0,0,203,0,terraced,14,2014,10,individual_heating,management_in_trust,1252,471504
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,3,2006,5,individual_heating,management_in_trust,2056,331858
Chil-sung-market,15min~20min,5min~10min,1,2,1,1,7,3,56,4,mixed,7,2003,5,individual_heating,management_in_trust,907,175221
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,8,2006,5,individual_heating,management_in_trust,818,215044
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,1,1993,4,individual_heating,management_in_trust,1761,181415
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,7,1992,3,individual_heating,management_in_trust,576,63716
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,3,2013,7,individual_heating,management_in_trust,910,353982
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,6,2005,7,individual_heating,management_in_trust,572,188495
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,12,1993,4,individual_heating,management_in_trust,914,247787
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,21,1993,4,individual_heating,management_in_trust,914,137168
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,11,2005,7,individual_heating,management_in_trust,572,207079
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,10,1992,3,individual_heating,management_in_trust,355,80530
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,12,1993,4,individual_heating,management_in_trust,1288,176991
Kyungbuk-uni-hospital,0~5min,0~5min,2,1,0,0,3,2,0,3,corridor,5,1978,3,individual_heating,self_management,1327,169911
Daegu,5min~10min,0~5min,1,2,1,2,5,0,76,2,corridor,4,1985,3,individual_heating,self_management,587,53097
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,20,2007,4,individual_heating,management_in_trust,1394,371681
no-subway-nearby,5min~10min,5min~10min,1,2,1,0,1,1,1321,2,terraced,18,2015,10,individual_heating,management_in_trust,910,393805
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,16,2007,4,individual_heating,management_in_trust,1419,372566
Sin-nam,5min~10min,0~5min,1,2,1,1,5,2,18,6,corridor,12,1986,3,individual_heating,management_in_trust,508,65486
Daegu,5min~10min,0~5min,1,2,1,2,5,0,76,2,corridor,9,1985,3,individual_heating,self_management,587,59734
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,17,2013,7,individual_heating,management_in_trust,426,103663
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,16,2005,7,individual_heating,management_in_trust,572,192035
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,19,1993,4,individual_heating,management_in_trust,914,123893
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,2,1992,3,individual_heating,management_in_trust,355,34070
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,11,1992,3,individual_heating,management_in_trust,355,37168
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,7,2008,8,individual_heating,management_in_trust,914,178761
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,2,1980,9,individual_heating,management_in_trust,910,76991
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,10,2008,8,individual_heating,management_in_trust,914,172566
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,8,2006,5,individual_heating,management_in_trust,1743,274336
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,20,2007,4,individual_heating,management_in_trust,1366,285840
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,1,2005,7,individual_heating,management_in_trust,572,153097
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,5,1993,4,individual_heating,management_in_trust,1761,194690
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,16,1993,4,individual_heating,management_in_trust,644,119469
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,2,1993,4,individual_heating,management_in_trust,914,117699
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,20,2006,5,individual_heating,management_in_trust,818,181415
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,15,2005,7,individual_heating,management_in_trust,743,242477
Kyungbuk-uni-hospital,0~5min,0~5min,2,1,0,0,3,2,0,3,corridor,6,1978,3,individual_heating,self_management,871,104867
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,15,1993,4,individual_heating,management_in_trust,644,146017
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,4,1993,4,individual_heating,management_in_trust,644,92920
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,41,2007,10,individual_heating,management_in_trust,1387,469026
no-subway-nearby,no_bus_stop_nearby,0~5min,1,0,1,2,2,1,203,2,terraced,19,2009,5,individual_heating,management_in_trust,914,200522
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,4,2013,7,individual_heating,management_in_trust,910,242274
Myung-duk,15min~20min,5min~10min,1,1,0,1,5,4,79,3,mixed,4,1992,3,individual_heating,self_management,644,77876
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,11,1986,4,central_heating,management_in_trust,1313,214159
Banwoldang,0~5min,0~5min,1,2,1,0,4,1,605,2,terraced,7,2007,5,individual_heating,management_in_trust,1273,336283
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,20,2005,7,individual_heating,management_in_trust,572,115044
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,5,2007,10,individual_heating,management_in_trust,868,336283
Banwoldang,0~5min,0~5min,1,2,1,0,4,1,605,2,terraced,4,2007,5,individual_heating,management_in_trust,1334,326548
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,8,2013,7,individual_heating,management_in_trust,426,102601
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,15,2007,10,individual_heating,management_in_trust,868,212389
Kyungbuk-uni-hospital,10min~15min,5min~10min,1,1,0,1,2,2,184,3,terraced,20,2006,5,individual_heating,management_in_trust,910,230088
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,5,1993,4,individual_heating,management_in_trust,914,116814
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,26,2007,4,individual_heating,management_in_trust,1103,228761
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,3,2008,8,individual_heating,management_in_trust,914,176991
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,4,2014,9,individual_heating,management_in_trust,843,321681
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,5,2013,7,individual_heating,management_in_trust,910,250176
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,20,2014,9,individual_heating,management_in_trust,846,322123
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,3,1992,3,individual_heating,management_in_trust,576,57964
Sin-nam,5min~10min,0~5min,1,2,1,1,5,2,18,6,corridor,7,1986,3,individual_heating,management_in_trust,508,66371
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,23,2007,10,individual_heating,management_in_trust,868,238053
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,22,1993,4,individual_heating,management_in_trust,1761,292035
no-subway-nearby,5min~10min,5min~10min,1,2,1,0,1,1,1321,2,terraced,9,2015,10,individual_heating,management_in_trust,910,379646
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,14,2008,8,individual_heating,management_in_trust,914,212389
no-subway-nearby,no_bus_stop_nearby,0~5min,1,0,1,2,2,1,203,2,terraced,17,2009,5,individual_heating,management_in_trust,910,304424
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,18,2007,4,individual_heating,management_in_trust,1103,213274
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,10,1993,4,individual_heating,management_in_trust,914,247787
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,1,2013,7,individual_heating,management_in_trust,907,309734
Myung-duk,0~5min,5min~10min,1,1,0,2,3,1,181,4,terraced,12,2006,4,individual_heating,management_in_trust,903,302654
no-subway-nearby,no_bus_stop_nearby,0~5min,1,0,1,2,2,1,203,2,terraced,3,2009,5,individual_heating,management_in_trust,910,174336
Kyungbuk-uni-hospital,0~5min,0~5min,2,1,0,0,3,2,0,3,corridor,2,1978,3,individual_heating,self_management,779,172566
no-subway-nearby,5min~10min,10min~15min,1,0,0,1,4,1,218,0,corridor,18,2014,1,individual_heating,self_management,138,55752
Banwoldang,0~5min,0~5min,1,2,1,0,4,1,605,2,terraced,9,2007,5,individual_heating,management_in_trust,1629,422123
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,3,1993,4,individual_heating,management_in_trust,644,92920
Daegu,5min~10min,0~5min,1,2,1,2,5,0,76,2,corridor,7,1985,3,individual_heating,self_management,587,115044
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,20,2007,10,individual_heating,management_in_trust,868,253097
Kyungbuk-uni-hospital,10min~15min,5min~10min,1,1,0,1,2,2,184,3,terraced,3,2006,5,individual_heating,management_in_trust,811,252212
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,21,2007,4,individual_heating,management_in_trust,1419,238938
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,27,2013,7,individual_heating,management_in_trust,910,388495
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,4,1993,4,individual_heating,management_in_trust,914,159292
Banwoldang,0~5min,0~5min,1,2,1,0,4,1,605,2,terraced,25,2007,5,individual_heating,management_in_trust,1690,462831
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,3,2008,8,individual_heating,management_in_trust,914,177876
Banwoldang,0~5min,0~5min,1,2,1,0,4,1,605,2,terraced,13,2007,5,individual_heating,management_in_trust,1483,371681
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,21,2007,4,individual_heating,management_in_trust,1394,295575
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,2,1993,4,individual_heating,management_in_trust,1451,181415
no-subway-nearby,5min~10min,10min~15min,1,0,0,1,4,1,218,0,corridor,19,2014,1,individual_heating,self_management,135,53982
no-subway-nearby,5min~10min,5min~10min,1,2,1,0,1,1,1321,2,terraced,7,2015,10,individual_heating,management_in_trust,1035,442477
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,16,2013,7,individual_heating,management_in_trust,907,255442
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,23,2008,8,individual_heating,management_in_trust,914,176991
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,9,2008,8,individual_heating,management_in_trust,914,318584
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,1,1993,4,individual_heating,management_in_trust,644,96460
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,19,2005,7,individual_heating,management_in_trust,743,147787
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,24,2007,4,individual_heating,management_in_trust,914,218584
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,17,2007,10,individual_heating,management_in_trust,1387,346017
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,19,2007,10,individual_heating,management_in_trust,1643,387610
Sin-nam,5min~10min,0~5min,1,2,1,1,5,2,18,6,corridor,11,1986,3,individual_heating,management_in_trust,508,63716
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,17,2008,8,individual_heating,management_in_trust,829,219469
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,10,2005,7,individual_heating,management_in_trust,743,209734
Banwoldang,0~5min,0~5min,0,0,0,0,0,0,203,0,terraced,23,2014,10,individual_heating,management_in_trust,914,265486
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,9,2006,5,individual_heating,management_in_trust,818,211504
no-subway-nearby,no_bus_stop_nearby,0~5min,1,0,1,2,2,1,203,2,terraced,18,2009,5,individual_heating,management_in_trust,1160,265442
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,16,1993,4,individual_heating,management_in_trust,644,153982
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,17,2005,7,individual_heating,management_in_trust,572,73840
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,24,1993,4,individual_heating,management_in_trust,1761,309734
Kyungbuk-uni-hospital,10min~15min,5min~10min,1,1,0,1,2,2,184,3,terraced,5,2006,5,individual_heating,management_in_trust,811,226548
Banwoldang,0~5min,0~5min,1,2,1,0,4,1,605,2,terraced,12,2007,5,individual_heating,management_in_trust,1273,317699
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,3,2007,10,individual_heating,management_in_trust,868,237168
no-subway-nearby,5min~10min,10min~15min,1,0,0,1,4,1,218,0,corridor,11,2014,1,individual_heating,self_management,135,56637
Myung-duk,0~5min,5min~10min,1,1,0,2,3,1,181,4,terraced,2,2006,4,individual_heating,management_in_trust,857,206194
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,6,1986,4,central_heating,management_in_trust,1377,203539
Banwoldang,0~5min,0~5min,1,2,1,0,4,1,605,2,terraced,15,2007,5,individual_heating,management_in_trust,1483,314159
Kyungbuk-uni-hospital,10min~15min,5min~10min,1,1,0,1,2,2,184,3,terraced,6,2006,5,individual_heating,management_in_trust,910,183185
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,25,2008,8,individual_heating,management_in_trust,914,260176
no-subway-nearby,no_bus_stop_nearby,0~5min,1,0,1,2,2,1,203,2,terraced,15,2009,5,individual_heating,management_in_trust,910,185840
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,10,1992,3,individual_heating,management_in_trust,355,37610
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,3,2014,9,individual_heating,management_in_trust,640,262831
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,15,2007,4,individual_heating,management_in_trust,1394,273451
Banwoldang,0~5min,0~5min,1,2,1,0,4,1,605,2,terraced,3,2007,5,individual_heating,management_in_trust,1273,289380
no-subway-nearby,5min~10min,5min~10min,1,2,1,0,1,1,1321,2,terraced,29,2015,10,individual_heating,management_in_trust,644,276106
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,9,1993,4,individual_heating,management_in_trust,914,141592
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,6,2007,4,individual_heating,management_in_trust,1394,265486
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,6,2008,8,individual_heating,management_in_trust,914,316371
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,28,2007,10,individual_heating,management_in_trust,1643,469026
Kyungbuk-uni-hospital,10min~15min,5min~10min,1,1,0,1,2,2,184,3,terraced,18,2006,5,individual_heating,management_in_trust,910,207964
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,15,2005,7,individual_heating,management_in_trust,743,142477
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,4,1992,3,individual_heating,management_in_trust,355,34513
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,13,2005,7,individual_heating,management_in_trust,572,73840
Banwoldang,0~5min,0~5min,0,0,0,0,0,0,203,0,terraced,15,2014,10,individual_heating,management_in_trust,914,367256
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,4,1993,4,individual_heating,management_in_trust,1761,221681
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,3,2008,8,individual_heating,management_in_trust,1167,336283
Kyungbuk-uni-hospital,10min~15min,5min~10min,1,1,0,1,2,2,184,3,terraced,1,2006,5,individual_heating,management_in_trust,910,265486
Myung-duk,15min~20min,5min~10min,1,1,0,1,5,4,79,3,mixed,14,1992,3,individual_heating,self_management,1448,137168
no-subway-nearby,5min~10min,5min~10min,1,2,1,0,1,1,1321,2,terraced,4,2015,10,individual_heating,management_in_trust,910,371681
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,1,1993,4,individual_heating,management_in_trust,2337,225663
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,10,1986,4,central_heating,management_in_trust,914,158407
Kyungbuk-uni-hospital,10min~15min,5min~10min,1,1,0,1,2,2,184,3,terraced,13,2006,5,individual_heating,management_in_trust,636,178318
no-subway-nearby,5min~10min,5min~10min,1,2,1,0,1,1,1321,2,terraced,20,2015,10,individual_heating,management_in_trust,910,383185
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,7,2013,7,individual_heating,management_in_trust,910,254123
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,15,1992,3,individual_heating,management_in_trust,355,73008
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,10,2005,7,individual_heating,management_in_trust,572,210619
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,21,2005,7,individual_heating,management_in_trust,914,168141
no-subway-nearby,no_bus_stop_nearby,0~5min,1,0,1,2,2,1,203,2,terraced,20,2009,5,individual_heating,management_in_trust,1160,193769
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,24,2005,7,individual_heating,management_in_trust,914,270796
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,6,1992,3,individual_heating,management_in_trust,640,138938
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,15,1993,4,individual_heating,management_in_trust,644,92035
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,14,2008,8,individual_heating,management_in_trust,914,166371
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,21,2005,7,individual_heating,management_in_trust,914,199115
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,15,2014,9,individual_heating,management_in_trust,910,369911
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,16,2014,9,individual_heating,management_in_trust,910,350884
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,21,1993,4,individual_heating,management_in_trust,644,90265
Myung-duk,15min~20min,5min~10min,1,1,0,1,5,4,79,3,mixed,14,1992,3,individual_heating,self_management,644,92920
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,4,1992,3,individual_heating,management_in_trust,355,36283
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,16,2005,7,individual_heating,management_in_trust,572,73840
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,6,2007,4,individual_heating,management_in_trust,1366,274336
Kyungbuk-uni-hospital,10min~15min,5min~10min,1,1,0,1,2,2,184,3,terraced,6,2006,5,individual_heating,management_in_trust,910,192920
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,41,2007,10,individual_heating,management_in_trust,1387,477876
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,25,2007,10,individual_heating,management_in_trust,1643,349115
no-subway-nearby,no_bus_stop_nearby,0~5min,1,0,1,2,2,1,203,2,terraced,17,2009,5,individual_heating,management_in_trust,1160,231858
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,24,2014,9,individual_heating,management_in_trust,846,314159
